file_path,file_size,commits_count
frontend/src/ts/commandline/lists/live-acc-style.ts,908,1
frontend/src/ts/commandline/lists/live-burst-style.ts,928,1
frontend/src/ts/commandline/lists/live-speed-style.ts,928,1
frontend/src/ts/commandline/lists/load-challenge.ts,1001,6
frontend/src/ts/commandline/lists/max-line-width.ts,497,1
frontend/src/ts/commandline/lists/min-acc.ts,852,3
frontend/src/ts/commandline/lists/min-burst.ts,1466,4
frontend/src/ts/commandline/lists/min-wpm.ts,1040,5
frontend/src/ts/commandline/lists/mode.ts,1606,1
frontend/src/ts/commandline/lists/monkey-power-level.ts,1138,1
frontend/src/ts/commandline/lists/navigation.ts,1385,6
frontend/src/ts/commandline/lists/numbers.ts,770,1
frontend/src/ts/commandline/lists/opposite-shift-mode.ts,1119,2
frontend/src/ts/commandline/lists/out-of-focus-warning.ts,757,1
frontend/src/ts/commandline/lists/pace-caret-style.ts,1746,2
frontend/src/ts/commandline/lists/pace-caret.ts,1953,5
frontend/src/ts/commandline/lists/presets.ts,1497,10
frontend/src/ts/commandline/lists/punctuation.ts,848,1
frontend/src/ts/commandline/lists/quick-end.ts,669,1
frontend/src/ts/commandline/lists/quick-restart.ts,1083,2
frontend/src/ts/commandline/lists/quote-favorites.ts,2194,2
frontend/src/ts/commandline/lists/quote-length.ts,2429,3
frontend/src/ts/commandline/lists/random-theme.ts,1672,3
frontend/src/ts/commandline/lists/repeat-quotes.ts,713,1
frontend/src/ts/commandline/lists/repeated-pace.ts,697,1
frontend/src/ts/commandline/lists/result-saving.ts,819,3
frontend/src/ts/commandline/lists/result-screen.ts,3067,6
frontend/src/ts/commandline/lists/show-all-lines.ts,701,1
frontend/src/ts/commandline/lists/show-average.ts,1053,2
frontend/src/ts/commandline/lists/show-words-history.ts,777,1
frontend/src/ts/commandline/lists/single-list-commandline.ts,769,1
frontend/src/ts/commandline/lists/smooth-caret.ts,1067,2
frontend/src/ts/commandline/lists/smooth-line-scroll.ts,733,1
frontend/src/ts/commandline/lists/sound-on-click.ts,5273,5
frontend/src/ts/commandline/lists/sound-on-error.ts,1502,4
frontend/src/ts/commandline/lists/sound-volume.ts,1070,2
frontend/src/ts/commandline/lists/start-graphs-at-zero.ts,743,1
frontend/src/ts/commandline/lists/stop-on-error.ts,961,1
frontend/src/ts/commandline/lists/strict-space.ts,686,1
frontend/src/ts/commandline/lists/tags.ts,2663,13
frontend/src/ts/commandline/lists/tape-mode.ts,846,1
frontend/src/ts/commandline/lists/themes.ts,2087,7
frontend/src/ts/commandline/lists/time.ts,1811,3
frontend/src/ts/commandline/lists/timer-color.ts,1178,3
frontend/src/ts/commandline/lists/timer-opacity.ts,1172,3
frontend/src/ts/commandline/lists/timer-style.ts,1068,3
frontend/src/ts/commandline/lists/typing-speed-unit.ts,1292,1
frontend/src/ts/commandline/lists/words.ts,2099,3
frontend/src/ts/config-validation.ts,4065,9
frontend/src/ts/config.ts,53589,83
frontend/src/ts/constants/default-config.ts,2234,21
frontend/src/ts/constants/default-snapshot.ts,869,13
frontend/src/ts/constants/env-config.ts,487,4
frontend/src/ts/constants/firebase-config-example.ts,466,1
frontend/src/ts/constants/ignored-keys.ts,157,1
frontend/src/ts/constants/modifier-keys.ts,223,1
frontend/src/ts/controllers/account-controller.ts,19828,108
frontend/src/ts/controllers/ad-controller.ts,8098,37
frontend/src/ts/controllers/analytics-controller.ts,1435,7
frontend/src/ts/controllers/badge-controller.ts,3980,25
frontend/src/ts/controllers/captcha-controller.ts,860,5
frontend/src/ts/controllers/challenge-controller.ts,12863,21
frontend/src/ts/controllers/chart-controller.ts,33752,37
frontend/src/ts/controllers/eg-ad-controller.ts,2281,4
frontend/src/ts/controllers/input-controller.ts,42094,134
frontend/src/ts/controllers/page-controller.ts,2894,18
frontend/src/ts/controllers/preset-controller.ts,941,7
frontend/src/ts/controllers/profile-search-controller.ts,2006,4
frontend/src/ts/controllers/pw-ad-controller.ts,6323,19
